year_month,revenue,orders
2023-01,314487.84,149
2023-02,264948.6699999999,125
2023-03,346590.9899999999,158
2023-04,302092.75,139
2023-05,293926.17999999993,149
2023-06,311571.93,146
2023-07,343493.60999999987,157
2023-08,288300.63,151
2023-09,315207.2800000001,144
2023-10,397671.4600000002,165
2023-11,237687.86000000004,119
2023-12,340206.9299999999,148
2024-01,368817.84,160
2024-02,274588.50000000006,137
2024-03,291869.2299999999,148
2024-04,297940.98000000016,140
2024-05,306581.8499999999,143
2024-06,326830.70000000024,141
2024-07,330895.6699999999,158
2024-08,322987.44000000024,157
2024-09,298155.8900000001,142
2024-10,315856.5999999999,143
2024-11,252146.32999999996,122
2024-12,315172.16999999987,141
2025-01,298580.7499999999,144
2025-02,225931.94,110
2025-03,320172.29999999993,154
2025-04,319445.85000000003,143
2025-05,310336.6099999999,145
2025-06,300590.8,139
2025-07,361136.05999999994,164
2025-08,105232.42,47
