region,category,revenue,units_sold,orders
Central,Home & Kitchen,337971.75000000035,1105,320
East,Home & Kitchen,318585.89,1050,313
West,Home & Kitchen,310153.0600000002,1042,301
Central,Toys & Games,303369.63999999996,845,241
Central,Electronics,297706.6100000001,1317,377
Central,Books,295119.2600000001,736,219
West,Electronics,289453.4599999998,1257,361
South,Home & Kitchen,288423.1000000001,932,269
East,Apparel,287226.61000000016,982,284
North,Toys & Games,283971.48000000016,765,225
South,Toys & Games,283778.89,786,219
East,Electronics,276219.1299999999,1236,343
East,Books,271449.95999999985,721,208
South,Electronics,269225.8500000001,1180,329
North,Home & Kitchen,266717.52,869,268
East,Toys & Games,265418.47000000003,761,238
West,Apparel,264356.12999999983,907,261
North,Electronics,261966.1099999999,1129,314
West,Grocery,259498.95000000013,932,278
West,Books,259114.4500000001,679,213
West,Toys & Games,255923.20999999996,718,216
Central,Grocery,255280.77999999994,963,271
South,Apparel,253570.61000000002,890,258
North,Apparel,246862.5799999999,860,263
Central,Apparel,240777.10999999996,890,273
South,Grocery,239444.18000000008,878,259
South,Books,233507.64000000004,589,178
East,Grocery,229660.24000000028,885,260
North,Grocery,229509.95999999996,813,247
North,Books,205249.62999999992,515,167
East,Sports & Outdoors,198896.90999999992,560,176
East,Beauty,190169.31999999986,811,244
Central,Sports & Outdoors,184576.58999999997,558,169
Central,Beauty,160716.68000000002,831,247
North,Sports & Outdoors,159978.49999999994,478,144
West,Sports & Outdoors,152057.02999999994,462,147
West,Beauty,149048.32000000007,651,210
South,Beauty,146215.73,716,212
North,Beauty,143413.71999999997,681,216
South,Sports & Outdoors,134871.0,452,141
